ID,X,Y,movie
2,459,88,Term1_night_0_オサムシ2
2,458,88,Term1_night_0_オサムシ2
2,457,89,Term1_night_0_オサムシ2
2,456,89,Term1_night_0_オサムシ2
2,456,91,Term1_night_0_オサムシ2
2,455,91,Term1_night_0_オサムシ2
2,455,92,Term1_night_0_オサムシ2
2,454,93,Term1_night_0_オサムシ2
2,453,93,Term1_night_0_オサムシ2
2,452,94,Term1_night_0_オサムシ2
2,451,95,Term1_night_0_オサムシ2
2,451,95,Term1_night_0_オサムシ2
2,450,96,Term1_night_0_オサムシ2
2,449,97,Term1_night_0_オサムシ2
2,449,97,Term1_night_0_オサムシ2
2,448,99,Term1_night_0_オサムシ2
2,448,100,Term1_night_0_オサムシ2
2,447,100,Term1_night_0_オサムシ2
2,447,101,Term1_night_0_オサムシ2
2,447,103,Term1_night_0_オサムシ2
2,447,103,Term1_night_0_オサムシ2
2,446,104,Term1_night_0_オサムシ2
2,446,105,Term1_night_0_オサムシ2
2,446,106,Term1_night_0_オサムシ2
2,446,107,Term1_night_0_オサムシ2
2,446,108,Term1_night_0_オサムシ2
2,446,109,Term1_night_0_オサムシ2
2,446,109,Term1_night_0_オサムシ2
2,446,110,Term1_night_0_オサムシ2
2,446,111,Term1_night_0_オサムシ2
2,446,113,Term1_night_0_オサムシ2
2,446,114,Term1_night_0_オサムシ2
2,446,115,Term1_night_0_オサムシ2
2,447,115,Term1_night_0_オサムシ2
2,447,117,Term1_night_0_オサムシ2
2,447,117,Term1_night_0_オサムシ2
2,447,118,Term1_night_0_オサムシ2
2,447,119,Term1_night_0_オサムシ2
2,447,119,Term1_night_0_オサムシ2
2,448,120,Term1_night_0_オサムシ2
2,447,121,Term1_night_0_オサムシ2
2,446,121,Term1_night_0_オサムシ2
2,446,123,Term1_night_0_オサムシ2
2,446,124,Term1_night_0_オサムシ2
2,446,124,Term1_night_0_オサムシ2
2,445,125,Term1_night_0_オサムシ2
2,445,126,Term1_night_0_オサムシ2
2,445,126,Term1_night_0_オサムシ2
2,445,126,Term1_night_0_オサムシ2
2,444,127,Term1_night_0_オサムシ2
2,443,128,Term1_night_0_オサムシ2
2,442,129,Term1_night_0_オサムシ2
2,440,130,Term1_night_0_オサムシ2
2,440,131,Term1_night_0_オサムシ2
2,440,131,Term1_night_0_オサムシ2
2,439,132,Term1_night_0_オサムシ2
2,439,132,Term1_night_0_オサムシ2
2,438,132,Term1_night_0_オサムシ2
2,437,133,Term1_night_0_オサムシ2
2,437,133,Term1_night_0_オサムシ2
2,436,134,Term1_night_0_オサムシ2
2,434,134,Term1_night_0_オサムシ2
2,433,135,Term1_night_0_オサムシ2
2,433,135,Term1_night_0_オサムシ2
2,431,136,Term1_night_0_オサムシ2
2,431,136,Term1_night_0_オサムシ2
2,429,137,Term1_night_0_オサムシ2
2,428,138,Term1_night_0_オサムシ2
2,427,138,Term1_night_0_オサムシ2
2,426,139,Term1_night_0_オサムシ2
2,425,140,Term1_night_0_オサムシ2
2,424,140,Term1_night_0_オサムシ2
2,422,141,Term1_night_0_オサムシ2
2,422,141,Term1_night_0_オサムシ2
2,421,141,Term1_night_0_オサムシ2
2,420,142,Term1_night_0_オサムシ2
2,420,143,Term1_night_0_オサムシ2
2,418,144,Term1_night_0_オサムシ2
2,418,144,Term1_night_0_オサムシ2
2,417,145,Term1_night_0_オサムシ2
2,416,145,Term1_night_0_オサムシ2
2,416,145,Term1_night_0_オサムシ2
2,414,146,Term1_night_0_オサムシ2
2,413,146,Term1_night_0_オサムシ2
2,412,146,Term1_night_0_オサムシ2
2,411,146,Term1_night_0_オサムシ2
2,410,146,Term1_night_0_オサムシ2
2,409,147,Term1_night_0_オサムシ2
2,408,148,Term1_night_0_オサムシ2
2,407,148,Term1_night_0_オサムシ2
2,407,148,Term1_night_0_オサムシ2
2,406,149,Term1_night_0_オサムシ2
2,406,150,Term1_night_0_オサムシ2
2,405,150,Term1_night_0_オサムシ2
2,405,151,Term1_night_0_オサムシ2
2,405,152,Term1_night_0_オサムシ2
2,404,152,Term1_night_0_オサムシ2
2,404,155,Term1_night_0_オサムシ2
2,404,156,Term1_night_0_オサムシ2
2,403,156,Term1_night_0_オサムシ2
2,402,156,Term1_night_0_オサムシ2
2,402,156,Term1_night_0_オサムシ2
2,402,156,Term1_night_0_オサムシ2
2,402,157,Term1_night_0_オサムシ2
2,402,158,Term1_night_0_オサムシ2
2,401,158,Term1_night_0_オサムシ2
2,401,159,Term1_night_0_オサムシ2
2,401,160,Term1_night_0_オサムシ2
2,401,160,Term1_night_0_オサムシ2
2,401,161,Term1_night_0_オサムシ2
2,401,164,Term1_night_0_オサムシ2
2,400,163,Term1_night_0_オサムシ2
2,401,165,Term1_night_0_オサムシ2
2,401,167,Term1_night_0_オサムシ2
2,401,167,Term1_night_0_オサムシ2
2,400,170,Term1_night_0_オサムシ2
2,400,171,Term1_night_0_オサムシ2
2,399,173,Term1_night_0_オサムシ2
2,398,174,Term1_night_0_オサムシ2
2,399,175,Term1_night_0_オサムシ2
2,398,176,Term1_night_0_オサムシ2
2,397,177,Term1_night_0_オサムシ2
2,397,178,Term1_night_0_オサムシ2
2,396,179,Term1_night_0_オサムシ2
2,395,179,Term1_night_0_オサムシ2
2,395,180,Term1_night_0_オサムシ2
2,394,180,Term1_night_0_オサムシ2
2,394,184,Term1_night_0_オサムシ2
2,393,184,Term1_night_0_オサムシ2
2,392,186,Term1_night_0_オサムシ2
2,392,186,Term1_night_0_オサムシ2
2,391,187,Term1_night_0_オサムシ2
2,391,188,Term1_night_0_オサムシ2
2,390,189,Term1_night_0_オサムシ2
2,389,190,Term1_night_0_オサムシ2
2,387,191,Term1_night_0_オサムシ2
2,386,192,Term1_night_0_オサムシ2
2,386,192,Term1_night_0_オサムシ2
2,386,193,Term1_night_0_オサムシ2
2,385,194,Term1_night_0_オサムシ2
2,384,194,Term1_night_0_オサムシ2
2,383,195,Term1_night_0_オサムシ2
2,381,197,Term1_night_0_オサムシ2
2,380,197,Term1_night_0_オサムシ2
2,379,200,Term1_night_0_オサムシ2
2,378,201,Term1_night_0_オサムシ2
2,377,201,Term1_night_0_オサムシ2
2,376,202,Term1_night_0_オサムシ2
2,375,203,Term1_night_0_オサムシ2
2,375,204,Term1_night_0_オサムシ2
2,374,205,Term1_night_0_オサムシ2
2,374,205,Term1_night_0_オサムシ2
2,373,207,Term1_night_0_オサムシ2
2,373,207,Term1_night_0_オサムシ2
2,372,209,Term1_night_0_オサムシ2
2,372,210,Term1_night_0_オサムシ2
2,372,210,Term1_night_0_オサムシ2
2,372,212,Term1_night_0_オサムシ2
2,371,213,Term1_night_0_オサムシ2
2,371,213,Term1_night_0_オサムシ2
2,371,214,Term1_night_0_オサムシ2
2,371,217,Term1_night_0_オサムシ2
2,370,219,Term1_night_0_オサムシ2
2,370,220,Term1_night_0_オサムシ2
2,369,221,Term1_night_0_オサムシ2
2,369,222,Term1_night_0_オサムシ2
2,369,223,Term1_night_0_オサムシ2
2,369,223,Term1_night_0_オサムシ2
2,370,225,Term1_night_0_オサムシ2
2,369,226,Term1_night_0_オサムシ2
2,369,230,Term1_night_0_オサムシ2
2,369,231,Term1_night_0_オサムシ2
2,368,232,Term1_night_0_オサムシ2
2,368,234,Term1_night_0_オサムシ2
2,368,235,Term1_night_0_オサムシ2
2,368,236,Term1_night_0_オサムシ2
2,368,237,Term1_night_0_オサムシ2
2,368,238,Term1_night_0_オサムシ2
2,367,240,Term1_night_0_オサムシ2
2,367,240,Term1_night_0_オサムシ2
2,367,243,Term1_night_0_オサムシ2
2,366,243,Term1_night_0_オサムシ2
2,366,243,Term1_night_0_オサムシ2
2,366,243,Term1_night_0_オサムシ2
2,366,244,Term1_night_0_オサムシ2
2,366,245,Term1_night_0_オサムシ2
2,365,245,Term1_night_0_オサムシ2
2,365,246,Term1_night_0_オサムシ2
2,364,247,Term1_night_0_オサムシ2
2,364,247,Term1_night_0_オサムシ2
2,364,248,Term1_night_0_オサムシ2
2,362,249,Term1_night_0_オサムシ2
2,362,249,Term1_night_0_オサムシ2
2,362,250,Term1_night_0_オサムシ2
2,362,250,Term1_night_0_オサムシ2
2,361,251,Term1_night_0_オサムシ2
2,360,252,Term1_night_0_オサムシ2
2,360,252,Term1_night_0_オサムシ2
2,359,253,Term1_night_0_オサムシ2
2,359,253,Term1_night_0_オサムシ2
2,359,254,Term1_night_0_オサムシ2
2,359,254,Term1_night_0_オサムシ2
2,359,255,Term1_night_0_オサムシ2
2,359,255,Term1_night_0_オサムシ2
2,358,255,Term1_night_0_オサムシ2
2,358,255,Term1_night_0_オサムシ2
2,359,255,Term1_night_0_オサムシ2
2,359,256,Term1_night_0_オサムシ2
2,360,256,Term1_night_0_オサムシ2
2,360,256,Term1_night_0_オサムシ2
2,360,257,Term1_night_0_オサムシ2
2,361,257,Term1_night_0_オサムシ2
2,361,257,Term1_night_0_オサムシ2
2,361,258,Term1_night_0_オサムシ2
